(2)-naphthol-as-ephosphate	cyp51 and epidermal growth factor (egf)-like factor [amphiregulin
(ap)-1 transcription factor	protein
(ar)	camp response element-binding protein (creb) transcription factor
(arf)	pld1
(cox)-1	cox-2
(cox)-1	cyclooxygenase
(egf) receptor	decorin
(gef) asef	apc
(gst)	gsh
(igf)-ii	sts gene
(mcp)	c3b
(mpo) polymorphism	mpo
(ph) domains	pi 3-kinase
(ph) domains	pleckstrin homology
(pkc)alpha	calcium
-6	menadione
-7	cisplatin
0.5, 1, and 2	heme oxygenase 1 (ho-1) protein
1,25(oh)2d3	cyp24
1-bromopropane	cyclooxygenase-2
1-nitropyrene	cyp1a1
12-myristate 13-acetate	il-6
12-o-tetradecanoylphorbol 13-acetate	phospholipase d (pld)
12-o-tetradecanoylphorbol-13-acetate	myricetin
14-3-3 protein	protein kinase c
14-3-3 proteins	cdc25 phosphatases
14-3-3 proteins	chk1
14-3-3 proteins	rap1gap2
14-3-3gamma	protein kinase c isoforms
14-3-3zeta	mapkapk2
15-deoxy-delta12,14 prostaglandin gj2	metalloproteinase 9
15-deoxy-delta12,14 prostaglandin gj2	nos-2
15-deoxy-delta12,14-prostaglandin j2-glycerol ester	peroxisome proliferator activated receptor gamma
15-hydroxyprostaglandin dehydrogenase (15-pgdh	flurbiprofen
15-pgdh	flurbiprofen
15-pgdh	indomethacin
160 kda	small gtp-binding protein rho
17 beta-hsd type 2	membrane
17-allylamino-17-demethoxygeldanamycin	hsf1
17-beta	17-beta estradiol
17-beta	hydroxyestradiols
17-beta	nf-kappa b
17-beta estradiol	17-beta
17-demethoxygeldanamycin	heat shock protein 90
17beta-estradiol	enos
17beta-estradiol	estrogen-related receptor alpha
17beta-estradiol	igf-1r
17beta-estradiol	p53
17beta-estradiol	pkc
17beta-estradiol	protein kinase c (pkc)
17beta-estradiol	sur
17beta-estradiol-induced estrogen receptor	c-src
2	c-jun nh(2)-terminal kinase
2	gata-4
2	genistein
2	jnk
2	muc5ac
2	p38
2	prazosin
2(erk1	muc5ac
2,3,7,8-tetrachlorodibenzo-p-dioxin	cyp1a1
2-abp	nox2
2-abp	p67
2-aminobiphenyl	cyclooxygenase-2
20s proteasomal	p63
20s proteasomes	c/ebpα
21 h-ras mutant proteins	gtpase
3'-untranslated region (3'-utr) of mrna	hur
3,3'-diindolylmethane	akt-nf-κb
3,3'-diindolylmethane	mapk
3,4-dms	ampk
3-hydroxy-3-methylglutaryl-coenzyme a reductase	statins
4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone	cyclooxygenase-2
