Event ID 	 Event type 	 Covered text 	 combinedName 	 Paper ID 	 sentence 	 CL 	 Uncertainty
E1	Regulation	induced	Regulation_p53_cystatin-C_E1	/tmp/Regulation_p53_cystatin-C.txt	Regulation_p53_cystatin-C  In response to DNA damage, activated p53 induced cystatin C expression through p53 binding sequence in the first intron.	false	Certain
E2	Regulation	regulates	Regulation_p53_cystatin-C_E2	/tmp/Regulation_p53_cystatin-C.txt	Taken together, we concluded that p53 regulates cystatin C expression through p53BS in intron 1.	false	Certain
E1	Positive_regulation	regulation	Positive_regulation_ATF2_MITF_E1	/tmp/Positive_regulation_ATF2_MITF.txt	Positive_regulation_ATF2_MITF  Conversely, a second class of cells, including MeWo and 501Mel cells, exhibited decreased MITF expression after ATF2 knockdown (KD), suggesting positive regulation of MITF by ATF2 (Figure 3d, S2b).	false	Uncertain
E2	Positive_regulation	increase	Positive_regulation_ATF2_MITF_E2	/tmp/Positive_regulation_ATF2_MITF.txt	Notably, inhibition of both ATF2 and FOXD3 resulted in additive increase of SOX10 and MITF (Figure S4).	false	Certain
E3	Positive_regulation	regulation	Positive_regulation_ATF2_MITF_E3	/tmp/Positive_regulation_ATF2_MITF.txt	In these cells, whereas TAM67 effectively attenuated Sox10 and MITF expression, JunB did not alter expression of these genes, suggesting that positive regulation of MITF and SOX10 by ATF2 depends on other members of the Jun family of transcription factors (Figure S7d).	false	Certain
E4	Positive_regulation	causes	Positive_regulation_ATF2_MITF_E4	/tmp/Positive_regulation_ATF2_MITF.txt	While supportive of our finding in the Nras::Ink4a mouse melanoma model, where expression of transcriptionally inactive ATF2 inhibits melanoma formation, these observations provide the foundation for a model in which ATF2 inhibition causes increased MITF levels and concomitant inhibition of melanocyte growth, possible induction of cell death and delayed development.	false	Certain
E1	Positive_regulation	activates	Positive_regulation_MCSF_Rac2_E1	/tmp/Positive_regulation_MCSF_Rac2.txt	Positive_regulation_MCSF_Rac2  In order to gain insight into the specificity that MCSF activates Rac2, we examined the effect of MCSF vs. GMCSF stimulation on the activation of Rac2 vs. Rac1 in macrophages.	false	Certain
E2	Positive_regulation	activate	Positive_regulation_MCSF_Rac2_E2	/tmp/Positive_regulation_MCSF_Rac2.txt	Moreover, our results also suggest that only MCSF but not GMCSF stimulations activate Rac2 (Figure 6A).	false	Uncertain
E1	Phosphorylation	activates	Phosphorylation_Raf-1_MEK_E1	/tmp/Phosphorylation_Raf-1_MEK.txt	Phosphorylation_Raf-1_MEK  In some models, wild-type (WT) and mutant B-Raf are proposed to activate Raf-1, which then activates MEK and ERK [77, 78].	false	Certain
E2	Phosphorylation	phosphorylates	Phosphorylation_Raf-1_MEK_E2	/tmp/Phosphorylation_Raf-1_MEK.txt	Activated Raf-1 phosphorylates and activates MEK, which in turn phosphorylates and activates extracellular signal-regulated kinase (ERK).	false	Certain
E1	Positive_regulation	upregulates	Positive_regulation_bFGF_CD13_E1	/tmp/Positive_regulation_bFGF_CD13.txt	Positive_regulation_bFGF_CD13  Taken together, our data indicate that high bFGF expression upregulates CD13 expression in human melanoma cells by activating both the myeloid and the epithelial CD13 promoter.	false	Uncertain
E2	Positive_regulation	induces	Positive_regulation_bFGF_CD13_E2	/tmp/Positive_regulation_bFGF_CD13.txt	We here report that bFGF induces the expression of CD13 in human melanoma cells resulting in a highly increased invasive capacity.	false	Certain
E3	Positive_regulation	upregulation	Positive_regulation_bFGF_CD13_E3	/tmp/Positive_regulation_bFGF_CD13.txt	In addition, we report that both CD13 promoters are activated upon upregulation of CD13 by bFGF.	false	Certain
E4	Positive_regulation	induce	Positive_regulation_bFGF_CD13_E4	/tmp/Positive_regulation_bFGF_CD13.txt	Since we observed that bFGF overexpression can induce CD13 expression in human melanoma cells, we determined whether there was a correlation between bFGF and CD13 mRNA expression in a panel of melanoma cell lines.	false	Uncertain
E5	Positive_regulation	Induction	Positive_regulation_bFGF_CD13_E5	/tmp/Positive_regulation_bFGF_CD13.txt	Induction of CD13 expression by exogenous bFGF has previously been described in human endothelial cells and is required for vasculogenesis.	false	Certain
E6	Positive_regulation	induce	Positive_regulation_bFGF_CD13_E6	/tmp/Positive_regulation_bFGF_CD13.txt	The authors have also reported that exogenous bFGF could induce CD13 expression in KS1767 Kaposi sarcoma cells (Bhagwat et al, 2001).	false	Certain
E1	Binding	bound	Binding_Sema-PSI_HGF_E1	/tmp/Binding_Sema-PSI_HGF.txt	Binding_Sema-PSI_HGF  Consistent with previous measurements  (40), Sema-PSI and Sema bound  to HGF with an affinity at least one log lower compared with decoy Met.	false	Certain
E2	Binding	binding	Binding_Sema-PSI_HGF_E2	/tmp/Binding_Sema-PSI_HGF.txt	In conclusion, both soluble Sema-PSI and IPT, capable of binding to HGF  autonomously, interfere with tumor growth and invasion in animal models.	false	Uncertain
E1	Binding	association	Binding_FLNa_F-actin_E1	/tmp/Binding_FLNa_F-actin.txt	Binding_FLNa_F-actin  This wide range of phenotypes is presumably attributed to alterations of FLNa association with F-actin and its binding partners, obstructing analysis of mechanisms underlying FLNa pathogenesis.	false	Certain
E2	Binding	affinity	Binding_FLNa_F-actin_E2	/tmp/Binding_FLNa_F-actin.txt	We have previously shown that dimerization of FLNa increases its affinity for F-actin by at least one order of magnitude.	false	Certain
E3	Binding	binds	Binding_FLNa_F-actin_E3	/tmp/Binding_FLNa_F-actin.txt	FLNa also binds numerous cellular components other than F-actin, including membrane receptors, enzymes, channels, signaling intermediates, and transcription factors, and it modulates the functional activities of these binding partners (Stossel et al., 2001; Feng and Walsh, 2004; Popowicz et al., 2006).	false	Certain
E4	Binding	binds	Binding_FLNa_F-actin_E4	/tmp/Binding_FLNa_F-actin.txt	Despite all of this information, how FLNa binds and architecturally organizes F-actin and serves as a functional platform for multiple cellular constituents is completely obscure.	false	Certain
E5	Binding	Binding	Binding_FLNa_F-actin_E5	/tmp/Binding_FLNa_F-actin.txt	Binding of FLNa and FLNa truncates to F-actin.	false	Certain
E6	Binding	Binding	Binding_FLNa_F-actin_E6	/tmp/Binding_FLNa_F-actin.txt	Binding of FLNa and its truncates to F-actin was specific and saturable.Fig. 4, B and C (note that Fig. 4 C is an enlarged view of Fig. 4 B), plot bound FLNa against free (supernatant) FLNa, and Fig. 4, D and E, show these data in the form of a Scatchard plot.	false	Certain
