Event ID 	 Event type 	 Covered text 	 combinedName 	 Paper ID 	 sentence 	 CL 	 Uncertainty
E2	Negative_regulation	reduced	positive_PromoterBinding__NF_kB______TP53_E2	/tmp/positive_PromoterBinding__NF_kB______TP53.txt	positive PromoterBinding: NF-kB --+> TP53 :  NF-kappaB inhibition also reduced p53 transcripts and p53 activity as measured by the p53-inducible messages, Puma and Noxa, implicating the p53 tumor suppressor in the mechanism of NF-kappaB-mediated neuronal death.	false	Certain
E4	Transcription	transcripts	positive_PromoterBinding__NF_kB______TP53_E4	/tmp/positive_PromoterBinding__NF_kB______TP53.txt	positive PromoterBinding: NF-kB --+> TP53 :  NF-kappaB inhibition also reduced p53 transcripts and p53 activity as measured by the p53-inducible messages, Puma and Noxa, implicating the p53 tumor suppressor in the mechanism of NF-kappaB-mediated neuronal death.	false	Certain
E5	Positive_regulation	inducible	positive_PromoterBinding__NF_kB______TP53_E5	/tmp/positive_PromoterBinding__NF_kB______TP53.txt	positive PromoterBinding: NF-kB --+> TP53 :  NF-kappaB inhibition also reduced p53 transcripts and p53 activity as measured by the p53-inducible messages, Puma and Noxa, implicating the p53 tumor suppressor in the mechanism of NF-kappaB-mediated neuronal death.	false	Certain
E6	Gene_expression	expression	positive_PromoterBinding__NF_kB______TP53_E6	/tmp/positive_PromoterBinding__NF_kB______TP53.txt	In this report, we show that doxycycline increased superoxide generation and subsequently activated NF-kappaB, which in turn up-regulated p53 expression and increased the stability and DNA binding activity of p53.	false	Certain
E1	Transcription	transcription	positive_PromoterBinding__NF_kB______TP53_E1	/tmp/positive_PromoterBinding__NF_kB______TP53.txt	We report here that NO-induced activation of p38 kinase leads to activation of NFkappaB, which in turn induces transcription of the p53 gene.	false	Certain
E1	Gene_expression	expression	Expression__Doxorubicin______BCL2L1_E1	/tmp/Expression__Doxorubicin______BCL2L1.txt	Expression: Doxorubicin ---> BCL2L1 :  Silymarin modulates doxorubicin-induced oxidative stress, Bcl-xL and p53 expression while preventing apoptotic and necrotic cell death in the liver.	false	Certain
E2	Regulation	alter	Expression__Doxorubicin______BCL2L1_E2	/tmp/Expression__Doxorubicin______BCL2L1.txt	Figure 10 shows that although the induction of bcl-xL by corticosterone is profound, doxorubicin did not seem to alter the level of bcl-xL significantly in our experimental system within the time frame tested (24 h).	false	Uncertain
E3	Gene_expression	expression	Expression__Doxorubicin______BCL2L1_E3	/tmp/Expression__Doxorubicin______BCL2L1.txt	Additionally, WISP1 reverses doxorubicin-induced suppression of Bcl-2 and Bcl-xL expression and Akt inhibition.	false	Certain
E4	Gene_expression	expression	Expression__Doxorubicin______BCL2L1_E4	/tmp/Expression__Doxorubicin______BCL2L1.txt	Effect of HGF/SF and EGF on adriamycin-induced Bcl-2 and Bcl-XL protein expression.	false	Certain
E5	Negative_regulation	Repression	Expression__Doxorubicin______BCL2L1_E5	/tmp/Expression__Doxorubicin______BCL2L1.txt	Repression of endogenous Bcl-xL and XIAP expression by daunorubicin, doxorubicin and mitoxantrone was confirmed by quantitative RT-PCR analysis (Fig. 4D).	false	Certain
